number_of_poses_sampled,object,run_number,environment,approach,total_grasping_area_movement_time,total_grasping_area_time,total_placing_area_movement_time,total_placing_area_time,total_grasp_calculation_time,placeability_time,simplify_grasp_area_time,collision_checks_grasps_time,reachability_map_grasping_time,reasoning_time,total_placement_locations_time,hand_collision_check_placing_time,reachability_map_placing_time,grasps_scored,best_grasp_placements_scored,motion_plan_time,pickandplace_movement_time,reset_arm_movement_time,total_time,bounding_box_grasp_time
1000,drill,1,sparse,ours,26.957327127456665,32.39308404922485,13.851235389709473,16.815178394317627,70.0440137386322,4.382492542266846,0.002587080001831,0.0150134563446044,0.0010356903076171,0.0055017471313476,0.7267227172851562,1.295337438583374,0.1309611797332763,156,761,26.496209144592285,36.9348578453064,10.683680295944214,183.1264307498932,0.0029752254486083
1000,drill,2,sparse,ours,26.45839142799377,32.96631407737732,13.788455724716188,16.31211829185486,71.98672270774841,4.799798250198364,0.0027437210083007,0.0165038108825683,0.0005085468292236,0.0039944648742675,0.6911628246307373,0.8490250110626221,0.1061911582946777,129,685,25.806257247924805,36.78309178352356,9.191869497299194,183.21862077713013,0.0031557083129882
1000,drill,3,sparse,ours,28.232229948043823,35.68638300895691,13.856426477432253,16.379066705703735,68.62063813209534,4.604475259780884,0.0031425952911376,0.0131630897521972,0.0006325244903564,0.0036292076110839,0.6820967197418213,0.8556561470031738,0.1046044826507568,102,726,23.719499826431274,38.385111808776855,9.984586477279665,182.6792497634888,0.0036301612854003
1000,muesli,1,sparse,ours,26.863672256469727,33.198843002319336,13.811487913131714,16.38519835472107,34.20330500602722,5.255706310272217,0.0059442520141601,0.0278830528259277,0.0007579326629638,0.0068805217742919,0.6844537258148193,0.9488649368286132,0.0884749889373779,229,394,30.739266395568848,52.49992871284485,26.28200840950012,183.96060585975647,0.0064647197723388
1000,muesli,2,sparse,ours,28.635388374328613,35.1827449798584,13.797190427780151,16.254403829574585,40.32043194770813,5.470320701599121,0.0045139789581298,0.0228147506713867,0.0009870529174804,0.0057957172393798,0.691810131072998,1.007296800613403,0.0854952335357666,205,425,30.345155477523804,58.00290060043335,0.4267981052398681,171.58272099494934,0.004967451095581
1000,muesli,2,sparse,ours,27.588500022888184,32.979050636291504,13.822219133377075,16.415435314178467,33.42522573471069,5.42920994758606,0.0045545101165771,0.0377230644226074,0.0008528232574462,0.0039417743682861,0.6658473014831543,0.8009064197540283,0.0729625225067138,205,341,29.2971510887146,49.955570459365845,18.72111344337464,171.40898990631104,0.0051054954528808
1000,muesli,3,sparse,ours,26.542999744415283,33.52716946601868,14.012417316436768,16.559224367141724,30.50381231307984,5.320078372955322,0.0041205883026123,0.0214946269989013,0.0006978511810302,0.00435471534729,0.6612539291381836,0.7813394069671631,0.0738027095794677,207,354,57.59338855743408,42.13962268829346,0.4340066909790039,171.082941532135,0.0045225620269775
1000,pringles,1,sparse,ours,27.506322622299194,34.36297941207886,13.919286489486694,16.79859495162964,64.20609831809998,5.168790340423584,0.0054528713226318,0.0170276165008544,0.0006344318389892,0.0061826705932617,0.7256476879119873,1.9254775047302248,0.1457440853118896,201,733,86.59759664535522,38.738109827041626,0.4138782024383545,232.33730506896973,0.0060329437255859
1000,pringles,2,sparse,ours,27.774083852767944,33.81903839111328,13.96469020843506,16.464617490768433,58.94561815261841,5.378432273864746,0.0037517547607421,0.0297355651855468,0.0006778240203857,0.0044758319854736,0.6982131004333496,2.154804944992065,0.1327400207519531,225,651,26.77592396736145,40.54422950744629,11.479983806610107,179.9885609149933,0.0042986869812011
1000,pringles,3,sparse,ours,26.700047969818115,33.521262407302856,13.803478002548218,16.33628273010254,65.52355074882507,5.16772985458374,0.0053009986877441,0.0257518291473388,0.0007641315460205,0.00392746925354,0.6868243217468262,1.2112395763397217,0.1080436706542968,134,645,30.22778010368347,38.69067120552063,0.4219188690185547,175.60976648330688,0.0057978630065917
1000,mustard,1,sparse,ours,28.57538866996765,34.332980155944824,13.788242101669312,16.152351140975952,68.73651218414307,4.65848708152771,0.0032002925872802,0.016395092010498,0.0007352828979492,0.0039153099060058,0.7386555671691895,0.7921640872955322,0.1247413158416748,63,1064,26.47545552253723,41.34321403503418,10.22492742538452,187.4698586463928,0.0035758018493652
1000,mustard,2,sparse,ours,28.396232843399048,34.33455204963684,13.866132497787476,16.419796466827393,49.94365835189819,4.6747589111328125,0.0030663013458251,0.0163698196411132,0.0007829666137695,0.0043530464172363,0.699852466583252,1.0464715957641602,0.1253530979156494,92,961,30.780993938446045,90.4517412185669,0.4233822822570801,212.5202021598816,0.003558874130249
1000,mustard,3,sparse,ours,26.913431644439697,33.68032693862915,13.841336965560911,16.44418692588806,56.84607148170471,4.618299961090088,0.0035042762756347,0.0120463371276855,0.0006563663482666,0.0033674240112304,0.7022318840026855,0.9840528964996338,0.1356561183929443,81,1060,35.53859543800354,55.10311484336853,17.225220441818237,204.86924362182617,0.0040996074676513
1000,milk,1,sparse,ours,28.645795583724976,34.55313229560852,13.811557054519652,16.28159809112549,36.04557275772095,5.071793556213379,0.0036816596984863,0.0222415924072265,0.0007135868072509,0.005669355392456,0.7288997173309326,1.6068105697631836,0.1260256767272949,175,693,26.336562871932983,37.885493516922,11.250810384750366,153.65347456932068,0.0041334629058837
1000,milk,2,sparse,ours,28.611183643341064,34.648263931274414,13.873581886291504,16.53409743309021,38.41230368614197,5.013503789901733,0.0039687156677246,0.0255370140075683,0.0006916522979736,0.0063693523406982,0.7056570053100586,1.2349576950073242,0.1046507358551025,132,674,31.17805790901184,44.54908347129822,9.78269386291504,165.68079137802124,0.0044019222259521
1000,milk,3,sparse,ours,26.850357055664062,32.64222264289856,13.937714338302612,16.32668423652649,38.220205783844,5.0770885944366455,0.0042581558227539,0.0348007678985595,0.0008172988891601,0.0085673332214355,0.7192845344543457,1.7199690341949463,0.1293144226074218,256,570,21.79505157470703,38.334089279174805,10.685612678527832,149.38807725906372,0.0047793388366699
1000,mustard,4,sparse,ours,28.25701808929444,33.969549894332886,13.789219617843628,16.58000874519348,59.17537045478821,4.737107753753662,0.0030591487884521,0.0423688888549804,0.000805377960205,0.0073142051696777,0.7804775238037109,1.7985048294067385,0.1780292987823486,155,1074,48.541329860687256,37.98277997970581,0.4205503463745117,187.6534049510956,0.0034782886505126
1000,cracker,1,sparse,ours,27.754456281661987,33.51552104949951,13.888972043991089,16.408408403396606,34.459500551223755,5.967042446136475,0.0062906742095947,0.0227818489074707,0.000718355178833,0.0037543773651123,0.8647704124450684,0.6474318504333496,0.0584025382995605,215,278,23.645000219345093,49.955297231674194,0.4260003566741943,149.58770155906677,0.0067012310028076
1000,cracker,2,sparse,ours,26.611902475357056,31.95835542678833,13.896812677383425,15.90371322631836,27.13732123374939,5.724150657653809,0.0052154064178466,0.0228335857391357,0.0007994174957275,0.0038261413574218,0.8354370594024658,0.5090656280517578,0.048039436340332,216,213,18.89932465553284,46.24838399887085,27.03619337081909,158.44859290122986,0.0056159496307373
1000,drill,1,sparse,baseline1,28.59516787528992,35.27159309387207,13.760238409042358,16.428840160369873,70.81208300590515,0.7728197574615479,0.0024373531341552,0.028921365737915,0.0005569458007812,0.0024139881134033,0.4066359996795654,0.3835663795471191,0.0431146621704101,163,210,55.72183036804199,16.238388538360596,8.010141372680664,161.91214084625244,0.0028748512268066
1000,drill,2,sparse,baseline1,26.50772953033448,33.0654399394989,13.725155591964722,16.41528606414795,69.5363757610321,0.7253005504608154,0.0025606155395507,0.0244867801666259,0.0009119510650634,0.0026733875274658,0.3992557525634765,0.3658139705657959,0.038175344467163,166,219,23.112898111343384,26.63319683074951,9.22211241722107,153.7478573322296,0.002953290939331
1000,drill,3,sparse,baseline1,27.346731901168823,33.77293372154236,13.848406791687012,16.341235876083374,67.50773429870605,0.7137486934661865,0.0025110244750976,0.02144455909729,0.0005345344543457,0.0010216236114501,0.4194331169128418,0.176762580871582,0.0283682346343994,52,226,37.34784150123596,36.9307587146759,10.191285371780396,187.1303906440735,0.0029633045196533
1000,muesli,1,sparse,baseline1,28.21994662284851,33.84649062156677,13.82673478126526,16.961273908615112,36.56154775619507,0.6917181015014648,0.0039341449737548,0.0304489135742187,0.000709056854248,0.0023128986358642,0.4202427864074707,0.325387954711914,0.0302293300628662,184,139,48.381730794906616,14.637836694717407,8.406188011169434,119.79247951507568,0.0044169425964355
1000,muesli,2,sparse,baseline1,28.59218406677246,34.30561661720276,13.850634336471558,16.19198775291443,39.53563165664673,0.7272248268127441,0.0059444904327392,0.0244781970977783,0.0006370544433593,0.0031812191009521,0.4014530181884765,0.2799103260040283,0.0265641212463378,196,114,29.660228729248047,57.95602774620056,12.348530292510986,175.29094099998474,0.0066132545471191
1000,muesli,3,sparse,baseline1,26.50352692604065,32.875396728515625,13.92253065109253,16.461814165115356,39.77163815498352,0.7160437107086182,0.0059566497802734,0.0319056510925293,0.0006501674652099,0.0015695095062255,0.4057204723358154,0.2882828712463379,0.0289657115936279,169,141,56.99666881561279,16.24638605117798,10.22156858444214,133.44225072860718,0.0064585208892822
1000,pringles,1,sparse,baseline1,27.540250301361084,33.65705466270447,13.84472155570984,17.168468713760376,81.36815786361694,0.6999256610870361,0.0052504539489746,0.0270311832427978,0.0006582736968994,0.0039103031158447,0.4416136741638183,0.8638501167297363,0.0560998916625976,186,297,57.734394550323486,65.6641697883606,0.0107519626617431,219.21430087089536,0.0057349205017089
1000,pringles,2,sparse,baseline1,28.0844464302063,34.15891218185425,13.827319860458374,16.560450792312622,60.775599002838135,0.6808521747589111,0.0040535926818847,0.0256822109222412,0.0008225440979003,0.0028162002563476,0.4293458461761474,0.6105690002441406,0.0513002872467041,132,287,47.48482179641724,53.45235729217529,0.4136710166931152,188.77609848976127,0.0045068264007568
1000,pringles,3,sparse,baseline1,26.48829174041748,32.14872646331787,13.81787610054016,16.32146167755127,68.75183033943176,0.6906416416168213,0.0042312145233154,0.0269310474395751,0.0007708072662353,0.0038468837738037,0.4327030181884765,0.7868435382843018,0.0554404258728027,190,289,98.96030569076538,36.660319089889526,0.0113294124603271,181.2232542037964,0.0047919750213623
1000,pringles,4,sparse,baseline1,28.056728839874268,35.09341382980347,13.848456382751465,16.64700484275818,70.32368850708008,0.6940147876739502,0.0038998126983642,0.0232479572296142,0.0006625652313232,0.0017509460449218,0.4302248954772949,0.4769880771636963,0.0393877029418945,101,260,66.95163083076477,15.690401077270508,8.16788649559021,170.46963953971863,0.0044200420379638
1000,mustard,1,sparse,baseline1,27.432878971099854,33.28147530555725,13.79899835586548,16.670318603515625,59.11959195137024,0.6677553653717041,0.002692699432373,0.0232782363891601,0.0005342960357666,0.0036408901214599,0.4297676086425781,0.4738914966583252,0.0429317951202392,84,327,38.79455089569092,44.29845666885376,0.4094641208648681,177.5661976337433,0.0030381679534912
1000,mustard,2,sparse,baseline1,26.515125036239624,32.1183545589447,13.786963939666748,16.415149450302124,60.88384532928467,0.6699752807617188,0.0033092498779296,0.0251057147979736,0.0008990764617919,0.0019323825836181,0.4312398433685303,0.3907704353332519,0.0429620742797851,87,326,28.347694396972656,39.83839964866638,13.10413146018982,175.8748972415924,0.0037674903869628
1000,mustard,3,sparse,baseline1,26.501729488372803,32.570085525512695,13.775001764297484,16.378461837768555,53.39426946640015,0.7010438442230225,0.0031652450561523,0.0273003578186035,0.0008552074432373,0.0025942325592041,0.4360194206237793,0.7340788841247559,0.0582804679870605,136,366,26.411065340042114,46.70161128044128,12.423961639404297,173.4791600704193,0.0036544799804687
1000,milk,1,sparse,baseline1,27.300026416778564,33.27981352806091,13.81000804901123,16.367419242858887,34.16939306259155,0.7045178413391113,0.0032935142517089,0.0248928070068359,0.0007960796356201,0.0055255889892578,0.4282989501953125,0.74560546875,0.0481646060943603,224,233,23.63707041740417,15.938431978225708,10.472742557525637,110.44872951507568,0.0037367343902587
1000,milk,2,sparse,baseline1,28.51675033569336,35.428956270217896,13.958276987075806,16.558507680892944,41.93967652320862,0.7088546752929688,0.0036983489990234,0.0286982059478759,0.0009231567382812,0.0017311573028564,0.4343862533569336,0.4918737411499023,0.0428197383880615,138,228,32.40885019302368,40.43527603149414,11.725727319717407,163.66639876365662,0.0040895938873291
1000,milk,3,sparse,baseline1,28.452986240386963,34.65958595275879,13.812907457351685,16.512173652648926,35.04674458503723,0.6762120723724365,0.0036454200744628,0.0219841003417968,0.0007276535034179,0.0057213306427001,0.4482960700988769,0.9547030925750732,0.0550575256347656,301,234,26.85085415840149,70.86432766914368,17.372647762298584,186.9762372970581,0.0042440891265869
1000,drill,1,sparse,baseline2,28.41225004196167,34.11599636077881,13.909048557281494,16.697414875030518,68.44809150695801,4.621562957763672,0.0036985874176025,0.0105824470520019,0.0004756450653076,0.0048170089721679,0.6934080123901367,1.1214203834533691,0.1317927837371826,147,846,37.83983039855957,42.14060997962952,13.128175020217896,193.17080926895144,0.0043518543243408
1000,drill,2,sparse,baseline2,27.23017191886902,34.01642680168152,13.769449234008787,16.28950810432434,71.69261193275452,4.681273937225342,0.0028975009918212,0.0179264545440673,0.0005538463592529,0.0026817321777343,0.7018682956695557,0.7939581871032715,0.118680715560913,90,890,32.386499881744385,36.23280453681946,10.216321229934692,190.8798866271973,0.003293752670288
1000,drill,3,sparse,baseline2,28.62331533432007,34.47251510620117,13.90135931968689,16.726529598236084,67.0441153049469,4.544426918029785,0.0024597644805908,0.0146276950836181,0.0007412433624267,0.0041022300720214,0.6662287712097168,0.8639569282531738,0.1165332794189453,125,743,37.17893266677856,15.339375495910645,9.805601358413696,147.64754843711853,0.002920389175415
1000,muesli,1,sparse,baseline2,27.98810696601868,34.346184492111206,13.77619695663452,16.448909521102905,36.173352003097534,4.993828535079956,0.0040743350982666,0.0333225727081298,0.000727891921997,0.003936767578125,0.619173526763916,0.9459381103515624,0.0835409164428711,212,419,25.947540283203125,40.23605108261109,12.73570728302002,156.13764142990112,0.0044629573822021
1000,muesli,2,sparse,baseline2,26.90031480789185,32.57164645195007,13.884318113327026,16.785255193710327,40.17850279808045,5.546051263809204,0.0041534900665283,0.0183422565460205,0.0007295608520507,0.0041735172271728,0.6302962303161621,1.2111127376556396,0.106112003326416,264,437,49.94654083251953,47.697810888290405,19.319783210754395,177.8047432899475,0.0045742988586425
1000,muesli,3,sparse,baseline2,26.66234517097473,32.49929451942444,13.86086392402649,16.357048511505127,39.25718450546265,5.416675329208374,0.0045990943908691,0.0243854522705078,0.0007731914520263,0.0025954246520996,0.6283917427062988,0.6404469013214111,0.0720164775848388,123,473,19.40579843521118,22.347241163253784,8.335145473480225,119.6195740699768,0.0049898624420166
